Product Name,Category,Price,Picture,Description,Link,,,,
agood company - Natural Grass Pens,School,$11,https://www.agood.com/products/natural-grass-pen-dark-brown,"The Natural Grass Pens offered by agood company provide a sustainable and eco-friendly writing instrument made from renewable materials, contributing to a greener and more environmentally-conscious writing experience.",https://www.agood.com/collections/natural-grass-pen,,Categories,,# of Products
Allbirds Footwear,Apparel,$80 - $200,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cnn.com%2Fcnn-underscored%2Freviews%2Fallbirds-sneakers&psig=AOvVaw1HHf4fK6YlMJTa0llrNQuy&ust=1692599906543000&source=images&cd=vfe&opi=89978449&ved=0CA4QjRxqFwoTCNibv63Q6oADFQAAAAAdAAAAABAj,"Allbirds footwear offers sustainable and comfortable shoes made from natural materials, combining eco-friendly practices with stylish and cozy designs.",https://www.allbirds.ca/,,Apparel,,4
Bee's Wrap - Reusable Food Wraps (3-Pack),Food & Beverage,$25,https://www.beeswrap.com/cdn/shop/products/HC_feature_1200x.jpg?v=1690821461,"Bee's Wrap offers a sustainable solution for food storage with these reusable wraps made from organic cotton infused with beeswax, resin, and jojoba oil.",https://www.beeswrap.com/collections/single-wraps/products/the-tri-fecta,,Electronics,,4
Bento&Co - Furoshiki Wrapping Cloths,Home & Pet,$10 - $16,https://en.bentoandco.com/products/double-sided-furoshiki-wrapping-cloth-asanoha-sakura-navy-red,"Bento&Co Furoshiki Wrapping Cloths are versatile and eco-friendly fabric wraps designed for stylish and sustainable gift-giving, storage, and more,",https://en.bentoandco.com/collections/furoshiki,,Food & Beverage,,4
Boll & Branch Signature Soft Sheets,Home & Pet,$200 - $300,https://m.media-amazon.com/images/I/31wdNtAYWFL._AC_UL400_.jpg,"Luxurious, ethically sourced, and organic cotton bed sheets.",https://www.amazon.ca/boll-branch-sheets/s?k=boll+and+branch+sheets,,Garden & Tools,,4
Brush with Bamboo,Health & Beauty,$10 - $30,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.brushwithbamboo.com%2Fabout-the-brush%2F&psig=AOvVaw31G2YJBV6u73jyD3Lxv6HP&ust=1692633626934000&source=images&cd=vfe&opi=89978449&ved=0CA4QjRxqFwoTCICjrOTN64ADFQAAAAAdAAAAABAL,"Brush with Bamboo provides sustainable toothbrushes made from bamboo handles and plant-based bristles, reducing plastic waste and promoting eco-friendly oral care.",https://www.brushwithbamboo.com/shop/,,Health & Beauty,,4
ecodaisy - Orthopedic Dog Matresses,Home & Pet,$88 -  $158,https://ecodaisy.ca/wp-content/uploads/2016/09/inside-mattress-ecodaisy-orthopedic-dog-bed-.jpg,"A thick, supportive pillow-top mattress for your dog with a durable, water-repellent cover. Now comes with a waterproof inner liner for long-lasting durability and complete liquid repellency. 100% upcycled. Good for your dog…and the environment.",https://ecodaisy.ca/product/orthopedic-dog-mattresses/,,Home & Pet,,4
Ecover Zero Dish Soap,Home & Pet,$5 - $10,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.walmart.com%2Fip%2FEcover-Naturally-Derived-Liquid-Dish-Soap-Fragrance-Free-25-Fl-Oz-Pack-Of-6%2F1400756209%3Fwmlspartner%3Dwlpa%26selectedSellerId%3D101341647&psig=AOvVaw3nIQFySLpiWS1auNttw6Fu&ust=1693161447580000&source=images&cd=vfe&opi=89978449&ved=0CA4QjRxqFwoTCLDEu4j8-oADFQAAAAAdAAAAABAa,"A plant-based, fragrance-free option for sustainable dishwashing.",https://www.amazon.ca/Ecover-Zero-Fragrance-Ounce-Count/dp/B00Q70Q2DG,,School,,4
Ethical Swag - Notebooks,School,$10 - $20,https://ethicalswag.ca/cdn/shop/files/T7oMzoPWWO5Q3JB_az1JwhTrgiMgygIq1sc2-M6lOTc_1800x1800.jpg?v=1686594690,"Discover custom eco-friendly notebooks from Ethical Swag, offering a sustainable and stylish way to take notes and contribute to a greener environment.",https://ethicalswag.ca/collections/custom-eco-swag-notebooks,,Total,,27
Fairphone - TWS Earbuds,Electronics,$170,https://fdn.gsmarena.com/imgroot/news/21/09/fairphone-tws-ofic/-1220x526/gsmarena_00.jpg,"Fairphone TWS Earbuds are sustainable true wireless earbuds designed with ethically sourced materials and modular components, offering a mindful audio experience.",https://shop.fairphone.com/shop/true-wireless-stereo-earbuds-10#attr=6,,,,
Fairphone 4,Electronics,~$1000,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.notebookcheck.net%2FFairphone-4-smartphone-review-5G-phone-with-environmental-focus.597274.0.html&psig=AOvVaw27DcDWWU1ryQxKxyTBaCv8&ust=1692633995349000&source=images&cd=vfe&opi=89978449&ved=0CA4QjRxqFwoTCJC7nJbP64ADFQAAAAAdAAAAABAI,The Fairphone 4 is a sustainable and ethically designed smartphone that prioritizes social and environmental responsibility throughout its production and lifecycle.,https://shop.fairphone.com/fairphone-4,,Not Added Yet,,
funktional. - Vinyl Wallets,Apparel,$20,https://funktional.ca/cdn/shop/products/image_51edc753-62c9-4ed9-aaff-26ac5bcc8502_1024x1024@2x.jpg?v=1604437841,"The Vinyl Wallet from Funktional is a stylish and sustainable accessory made from upcycled vinyl records, offering a unique blend of functionality and eco-conscious design.",https://funktional.ca/products/vinyl-wallet,,Added,,
JanSport - Recycled Superbreak Backpack,School,$60,https://jansport.ca/media/catalog/product/cache/8dcbacfc6c197b308f27a0103fbee446/j/s/js0a4qvc_7s0_1.jpg,"JanSport's Recycled SuperBreak Backpack is a sustainable and stylish choice for carrying your essentials, made from recycled materials to reduce environmental impact.",https://jansport.ca/en/recycled-superbreak-backpack-js0a4qvc.html,,,,
Meow Meow Tweet - Soap,Health & Beauty,$15 - $30,https://meowmeowtweet.com/cdn/shop/products/GM-BAR-webtrans_3000x.png?v=1667497441,"Discover a range of natural, vegan, and palm oil-free soaps handcrafted with care, offering a gentle cleanse while respecting both your skin and the environment.",https://meowmeowtweet.com/collections/soap,,,,
MPOWERD – Solar Lanterns,Electronics,$27 - $67,https://mpowerd.com/collections/solar-lanterns/products/pro-series,"MPWRED Solar Lanterns are innovative, eco-friendly lighting solutions powered by solar energy, designed to provide efficient and sustainable illumination in various settings.",https://mpowerd.com/collections/solar-lanterns,,,,
